神殿騎士団に、何か用かな？ 	 If you've come for work, speak with Ser Eloin.
本部内では、どうかお静かに。 重要な指示を聞き漏らすといけませんから。 	 Pray keep your voice down when─ Sorry, sorry. Used to serve as a guardsman over by the scholasticate. Force of habit. Carry on.
この先はクルザス西部高地とつながる、空路用の発着口だ。 お前がクルザス西部高地を飛び回れるようになったら、 自由に使うがいい。 	 This gate? Leads to the western highlands, but it won't do you any good if you haven't got any wings.
階段を登った先は、聖バルロアイアン広場……。 数百年前に邪竜「ニーズヘッグ」を退けたこともある、 「蒼の竜騎士」バルロアイアンを記念した広場です。 	 Lost? Saint Valeroyant's Forum is just up these steps. So named for the former Azure Dragoon, in case you were unaware.
「セントリオ記章」集めてるかい？ さまざまな品を用意しているからな……。 交換してほしい物がないか見ていくといい。 	 Got yourself some Centurio Seals, have you? Then perhaps I can offer you a few knickknacks in exchange.
仕事が欲しければ、そこの神殿騎士に声をかけてみな。 今のイシュガルドには、それこそ腐るほど仕事がある。 特にアンタみたいな、デキる奴にとっては、ね。 	 If you want for coin, you might consider undertaking a leve or two. Some are rather more challenging than others, but the rewards are well worth the hassle.
この先は、イシュガルドの「上層」です。 四大名家のお屋敷や、神聖裁判所、聖レマノー大聖堂……。 聖ガンリオル占星院などがございます。 	 These steps will take you to the Pillars, where you will find the manors of the High Houses, Saint Reymanaud's Cathedral, the Athenaeum Astrologicum, the Tribunal, and much more.
ここは、イシュガルド正教の総本山を護る要。 誇り高き、神殿騎士団本部です。 	 You stand before the Congregation of Our Knights Most Heavenly─the headquarters of we knights who have sworn to serve the Holy See.
冷たい……左腕の感覚がないの……。 ねぇ、これ、どうなっちゃうの……？ 怖い、怖い、怖いよ……。 	 I can't...I can't feel the pain in my arm anymore. Can't feel much anything... That's good, right?
ここは、聖大厩舎。 騎兵向けの軍用チョコボを飼育、訓練している施設です。 黒チョコボの訓練なら、我々にお任せください。 	 Welcome to the Holy Stables. I guarantee you'll find no finer stock of battle chocobos. Or if your gaze is fixed skyward, we also specialize in black chocobos trained for flight.
ここはもともと、神殿騎士団向けのチョコボを飼育するため、 教皇庁が設立した施設なんだ。 だから、施設の名前に「聖」が付くってわけさ。 	 What's so holy about these stables, you ask? Well, it was established by the See to train mounts for the Temple Knights, for one. - But if you ask me, it's because our birds are so brave and strong, why, they'd be fit for the Fury Herself to ride!
