お客さん遅いわね… 商品が枯れちゃうわ 	 At this rate, these flowers will wilt before the customer picks them up...
やはり旧来の方式では、 生産性が… 	 Hm... It would seem the old methods are simply not productive anymore.
この水場は、ニンファイオン…… つまり、水の精霊ニンフを祀る場所ってことね。 河を司るサリャクを守護神に掲げる、水の都らしいでしょう？ 	 This is the nymphaeum, a monument built in tribute to water spirits known as the nymphai. Seems rather fitting for a city that erected a towering statue of the ruler of rivers, Thaliak, no?
こちらは哲学者議会の議事堂、哲学者の広場です。 見学をご希望ですか？ でしたら、中に入って係の者に声をおかけください。 	 This is the Rostra, where the Forum convenes. What─ Do you wish for a tour? Then enter, and speak with one in charge of such things.
ここ、黙考のモノペトロスでは、静かに読書したり、 私のように沈思黙考することが求められる。 みだりに話しかけるのはやめたまえ。 	 Here at the Silent Monopteros, some patrons quietly read their books, while others like myself lose themselves in soundless meditation─until they are rudely torn from their reveries by nosy adventurers with nothing to say.
このあとのご飯 何を食べよう…？ 	 I'm simply famished, yet I can't decide what I'd like to eat!
そこに立って海を見ている子は、あたしの友だちなの。 いったん考え込むと長くて、いつもこうやって待たされるのよ。 まったく、今回は何を考えているのかしらね。 	 That's my friend over there staring out at the ocean. They always get like this when they start thinking about something. Meanwhile, I'm left here to pass the time until their train of thought finally rolls into the station.
第三霊災の資料を 探しているのだけれど 	 I'm looking for materials on the Calamity of Fire... Do you know of any offhand?
この本は…違うな むう…中々見つからない 	 Is this it? Damn it all... I'm having a devil of a time finding that tome.
あれを買うと研究費が… だがぜひとも欲しい… 	 I shouldn't spend my research grant on personal items, but...maybe just this once? 
コーヒーを飲むなら ラストスタンドだよな 	 Nothing beats a fresh brew from the Last Stand!
いつか必ず 賢人になってみせるわ 	 I hereby swear: I shall become an Archon if it's the last thing I do!
荷は揃ってるかな… 	 Is this all the cargo? I should triple-check...
ママたちずっと話してる… 	 Mom said we'd head home half an hour ago, but they keep talking...
近頃の哲学者会議を 皆さんはどう思います？ 	 How do we feel about the Forum's actions as of late?
さっきの講義に対する 私の見解を述べると… 	 Permit me to share my thoughts about today's lecture. You see... 
ようこそ、アルティフィスホールへ。 ここにはラヴィリンソスに続く昇降機が設置されています。 なお、アルティフィスは「技巧」を意味する古い言葉なんですよ。 	 Welcome to the Hall of Artifice. Should you be looking to descend to Labyrinthos, the lift here will take you there.
ここは、グリーナーたちの仕事の窓口だぞ。 特に職人の技術を持った連中に向けた、 仕事を紹介しているんだ。 	 If you're looking for work as a gleaner─and if you've got the right skills─then we've got a job for you.
製作や採集の技術に自信があるなら、 横にいるグリッグさんに、声をかけておくれよ！ 実入りのいい仕事を斡旋してもらえるからさ……！ 	 If gatherin' and craftin' is your game, then speak with Grigge here. He'll find you some of the most lucrative work around.
そろそろ到着するはず… なんだが…見えないな… 	 The ship should be arriving soon, but I don't see anything in the offing...
ラヴィリンソスに送る 物資の残りは… 	 Let's see... Is this everything to be transported to Labyrinthos?
大量の課題を出されたし 協力してやらないか？ 	 You seem a bit burdened with work. Shall I lend you a hand?
グリーナーの募集をかけてほしいと言われても、 研究のテーマが決まってなければ、選考のしようが……。 まったく、困った人ですね～！ 	 How am I supposed to approach any gleaners for help when the subject of our research remains undecided? Honestly, that man...
……学会……締切………… うぅぅっ、プレッシャーでおかしくなりそうだ……！！ 頼れる奴を紹介してもらえますように……！ 	 All this pressure is going to be the end of me... Oh, I hope I find someone who can help soon!
うーん……困った……。 こんな時、いつもなら彼が助けてくれたけど……。 	 Oh dear... If only he were around to help me.
おやおや、もしかして君ってば実験台の人～！？ ……じゃないよねえ、うん、わかってた。 はぁ～、早く来ないかな、じっけんだーい。 	 Oh, hello there! Are you here for the testing...? No, of course you're not. The only thing being tested these days is my patience for waiting on test subjects.
…………。 - こちらに気づいていない。 読書に没頭しているようだ……。 	 ...... - Your efforts to gain G'raha Tia's attention go unnoticed. He appears to be lost in his reading...
こちらはまだ、めぼしい情報なしだ。 さっきのヤ・シュトラの話からすると、 「何も見つからない」という成果かもしれないけれどね。 	 I've found naught of interest so far. I think Y'shtola might be right about not getting our hopes up.
うーん……。 第一霊災以前の世界について書いてる本があったけど、 推測というより妄想ねぇ、これ……。 	 Hm, well I did find one paper focused on the world before the advent of the First Umbral Calamity, but it reads more like a work of fanciful fiction than an actual academic supposition...
おかげさまで快調よ。 今のところ手を借りたいこともないし、少し休んできてはどう？ 	 Thank you for your help, but I think I can manage the rest without your assistance. If I were you, I'd steal a few quiet moments for myself...
現在、昇降機の利用は停止中です。 申し訳ございませんが、ご了承ください。 	 I am sorry, madam, but the lift is presently out of service. I apologize for the inconvenience.
カタカタカタ…… 地の底に眠れる蛇は、古き鱗を捨てされり…… - 蛇の頭は、蛇の尾を喰らい、己が血肉によりて己が血肉を作らん。 その痛みは地を揺るがし、山を崩し、川を枯れさせん。 しかれば蛇の背に7つの楔を打ちて………… 	 <rattle> “The serpent that sleeps in the deep slowly sheds its skin of old.” - “Eventually, the serpent devours its own tail, and renders new flesh using its own. The pain felt will cause the earth to quake, the mountains to crumble, and the rivers to run dry. Thus, seven wedges must be driven into its back...”
教授が困っているのを無視できないけど…… 手伝ってくれる職人さんなんて、見つからないよな～。 	 Oh dear. Am I ever going to find a craftsman for the professor?
う、ううう……うっぷ……。 このままでは……シャーレアンの食文化が……。 	 Urgh... <belch> Oh, gods... Sharlayan must be spared...
次にエーテル値を調べる魚は… 	 Now, which fish shall I look at next...?
サンプルの計測も忙しくなったね 	 Busy, busy, busy.
ここはフェノメノン大講堂。 講義で使う講堂である他、職人の集う場所でもあるわ。 部外者も利用できる公開講堂は、建物正面に向かって左側よ。 	 Phenomenon is something of a multi-purpose facility, used by lecturers and craftsmen alike. If you're looking for Learners' Meet, it's through the last door on the left.
