ったく… 	 That's what you said last night.
ガッポリにゃ！ 	 And then we'll be rich!
到着まで気は抜けん 	 That's if we make it in one piece...
あとひと息だ 	 Another bell and we'll be in Gridania!
うぃ～ヒック… 	 Ugh... I've had my last mead. I swear it.
この先は「ムントゥイ醸造庫」。 醸造庫の奥から、東部森林へ通り抜けられるわ。 - 中を見て回るのは構わないけど、 珍しがって、職人の邪魔をしないことね。 	 Ahead lie the Mun–Tuy Cellars. If you are traveling to the East Shroud, you may use the passage within.  - Observe the brewers if you wish, but see that you do not interfere with their work.
似我蜂団（じがばちだん）のゴロツキから、 どうにかして、あの村を取り戻せないだろうか。 - 奪われた故郷が目の前にあるってのに、 指を咥えて見ているだけなんて……くそっ……！ 	 We've tried so many times to take it back, but those Redbelly whoresons are veteran killers. - Do you know how it feels? To see another man in your home, yet you're powerless to throw 'em out? For years!? <sigh> Gods damn them all...
あれは商人か？それとも… 	 Gods! What is that approaching!?
む…冒険者か 	 Tread lightly, outsider. I am watching you.
森の外からの流入者は ここ「クォーリーミル」で一夜を過ごし、 精霊に、森の民として相応しいかを見定められる。 - ……精霊の意思を覆すことはできん。 精霊の許しのもとに森に暮らしているのは 我らもまた、同じなのだ。 	 Refugees must first spend a night here in Quarrymill that the elementals might judge them worthy of living in the Twelveswood. - Their decision cannot be appealed. Every one of us, Gridanians included, dwell here only by the elementals' leave.
はい、はい 	 These beans are covered in opo-opo droppings!
ムントゥイ豆から作られる「ムントゥイソース」は、 グリダニア料理の要よ。 これを使えば、何でも美味しくなるんだから。 	 They say Mun–Tuy brew is an essential ingredient in many Gridanian dishes. If you ask me, it's just an excuse to let the chef drink without arousing suspicion.
でね、それがまた… 	 I had to chase a few of the monsters away earlier.
ムントゥイ醸造庫は、 その昔、放棄されて魔物の巣になってたのを、 双蛇党が再整備してくれたんだ。 - 整備に協力してくれた人に、 ここで作ったムントゥイジュースを、 是非、お礼に飲ませてあげたいなあ。 	 Believe it or not, these cellars once crawled with beasts. The Order of the Twin Adder came in and cleared them all out though, Twelve bless their hearts. - I tell you, I'd love to split a cask of Mun–Tuy brew with the Adders that put me back to work!
ここ「ムントゥイ醸造庫」では、ムントゥイ豆を発酵させて、 ソースやジュースを作っているのさ。 - んー……この発酵途中の香りがたまらない。 かみさんには嫌がられるけどな。 	 Here we ferment the Mun–Tuy beans to make all sorts of wonderful, delicious products. - Oh how I love the smell of fermented beans! Shame my wife hates it─she won't touch me till I've bathed and washed my clothes.
この奥「トトラクの千獄」は グリダニア「鬼哭隊伍番槍」の管轄である。 危険区域につき、不用意な立ち入りは認められん。 	 The Thousand Maws of Toto–Rak lies within the jurisdiction of the Fifth Spear Wood Wailers. For safety reasons, access is strictly prohibited to all but those with express permission.
ここから北に、盗賊の根城「レッドベリー砦」があるだろ？ あそこは霊災の前までは、「バウバリー村」っていう 小さな村落だったんだ。 - 住民がグリダニアへと避難している間に、 盗賊団「似我蜂団」の連中が住みついて、 村ごと奪われちまったというわけだ。 	 Before the Calamity made a mess of everything, there was a small village just north of here. - When the surviving villagers tried to return from Gridania, they found those Redbelly bastards living on their land. Bad enough to lose your loved ones, but then to lose what little's left...
………… 	 Leave me be...
…ぷはぁっ！ 	 Wench! We need another round!
バスカロンの親父さんは、その昔、 ここから北の監視所で、哨兵として 街道の警備をしていたんだって。 - 哨兵をやめ、酒場を開くまでは大変だったようだ。 けど、親父さんの選択……「ドラザーズ」は、 ここにいる私たちにとって最高の答えだったと思うね。 	 They say Buscarron used to serve as a sentry at a lookout post north of here. - Why he chose to give up the soldier's life and become a tavernkeep is a deeper tale, but to cut a long story short, the local lads and lasses are glad he did.
おい、聞いてんのかよぉ？ 	 What we need is another wench.
俺ぁもともと、盗賊団あがりのゴロツキさ。 だが、バスカロンの親父はそんな俺を迎え入れてくれた。 - ここは俺の第二の家だ。 親父に仇なすヤツぁ、誰だろうと許さねぇぞ……！ 	 I used to run with a gang o' bandits, me. Nasty, they was. Killers an' worse. 'Course, that was before Buscarron set me on the strait an' narrow. - Now the Druthers is like me second home─and I'd gladly gut any bandit who came in here lookin' to make trouble!
クエッ！ 	 Kweeeh!
…ようこそ、旅人 	 All travelers are welcome here. Even you.
ここは、「バスカロンドラザーズ」。 バスカロンの親父が営む酒場だ。 - 安心して、大いに飲んでくれ。 レッドベリー砦のゴロツキも、ここには手出しできねぇ。 ここは特別な場所なのさ。 	 Found yer way to Buscarron's Druthers, did ye? Ye wouldn't be the first to be drawn in by the scent o' quality grog. - Don't be afeared to drink yer fill, lass─them Redbelly thugs won't give ye no trouble in here.
俺たちもやり直そう…！ 	 We mustn't let this come between us!
そうね… 	 I suppose...
よしよし、いい子ね 	 Won't no one et ye on my watch, dear.
よう、兄弟。 酒房「バスカロンドラザーズ」に来るのは初めてか？ - 初めてなら、この「出会い」を、 ふたたび来たなら「再会」を祝して。 俺たちの楽園「バスカロンドラザーズ」に乾杯だ！ 	 Ho there, friend! Is this your first visit to the Druthers? - If so, then we drink to new acquaintances. If not, then we drink to old companions. A toast, I say, a toast to the best tavern in Eorzea!
ここはグリダニアのハムレット「クォーリーミル」。 この近辺は、精霊との契約により狩猟が容認されている。 とは言え、好き勝手を許容しているわけではない。 - 森を傷つけるような真似をすれば……わかっているな？ 自由とは、思慮分別を持つ者にこそ許されるものだ。 	 What brings you to Quarrymill, adventurer? Mayhap you heard that our pact with the elementals permits hunting in this area? Do not think that gives you leave to strip the forest bare. - Such freedom is only granted to those who temper their actions with restraint. Any who would do harm to the Twelveswood...well, I'm sure you have heard tales of the consequences.
密猟者、盗賊、亡命者…… まったく、いくら手があっても足りたものではない。 冒険者よ、せめて貴様は我らの手を煩わしてくれるなよ。 	 Poachers, brigands, fugitives... If I had ten pairs of hands, they would still be full─and full of troublemakers at that. Do me a favor, adventurer, and do not add to my list of woes.
精霊様が許すはずがないわ 	 The spirits will never allow it!
またアラミゴからか？ 	 Then we shall meet the same fate...
かつては前線の警戒任務に就いていましたが、 今では、この集落で物資の管理人を務めております。 年寄りなりに奉公させて頂きますよ。 	 I was once quartermaster at a lightly guarded camp constantly harried by foul beasts, but now I hold the post at this quiet settlement. A less perilous duty, I concede, though one which requires no less effort.
ザナラーン地方を目指すなら、 旅商人や荷馬車を狙う盗賊に気をつけろ。 冒険者のお守りまでしている余裕はないのだ。 	 If yer headed to Thanalan, know that travelin' with peddlers or by carriage ain't no guarantee of safety. Too many 'venturers oft forget that.
アダマンタスに頼みな 	 Ask an adamantoise. I have none to spare.
1個でいいのにゃ！ 	 Just one egg is all I ask!
緑の生い茂る、かつてのキャンプ・トランキルは 霊災によって跡形もなく壊され、生き物は死に絶えた。 - 今のこの濁った沼の中で暮らしているのは、 よっぽど鈍いか、神経の図太い生き物というわけだ。 我らも含めてな。 	 Nothing remained of Camp Tranquil after the Calamity─no burnt cloth, no shattered timbers...and not a single survivor. - The only life left in this accursed swamp is too damn stubborn to die. Aye, that goes for us too.
この沼は「根渡り沼」。 霊災後にかろうじて残された大岩に築かれた この拠点は、「キャンプ・トランキル」だ。 - 少々足場が狭いゆえ、 うっかり滑り落ちんよう気をつけろよ。 	 First time seeing Rootslake? These boulders have lain as you see them since the Calamity. Atop the largest lies Camp Tranquil. - Mind your step as you go, adventurer. The fall may not kill you, but it's certain to leave a mark. 
何だ、冒険者。 私は今、わからず屋の商人の相手で忙しい。 - この黒衣森に、妙なものが持ち込まれぬよう、 道士様に見ていただかねばならんのだ。 	 Oh, another adventurer. Move along─I have my hands full with this merchant.  - We have strict rules requiring all foreign goods to be inspected by a mage before crossing our borders. Alas, some outsiders remain ignorant...
不気味な森も、薄汚れた泥沼も、 石頭の鬼哭隊も、もう、たくさんよ！ - 荷物ひとつの配達に、 いつまで待たされればいいのかしら。 ああ、さっさとウルダハに戻りたい！ 	 The hells with the godsdamned elementals, this godsdamned swamp, and this godsdamned Wood Wailer! - How long must I wait to make one godsdamned delivery!? Gods...I should have never left Ul'dah!
ぶったまげた！　カメ野郎の、でけぇこと！ じっとしてると岩山にしか見えんな！ 	 Matron's teats, those turtles are huge! If the damn things didn't move, ye'd think they were just another pile o' rocks!
南西に、封鎖されてる大きな扉があるだろう。 毒霧が充満していて危険だから閉め切っているって話だが、 なんだか嘘くさいと思わない？ - アタシの勘じゃ、あの扉の向こうには お宝がぎっしりしまってあるのさ。 アタシらにお宝を奪われないよう封鎖してるに違いないね。 	 Aren't you curious about that giant door to the southwest? They say it's sealed to prevent some poisonous mist from leaking out, but I'm not fool enough to fall for that. - You know what I think it is? Treasure. Legendary weapons, sparkling jewels, and mountains of gil so thick you could bury yourself in them! Those stories of poison mist are just to keep us from getting too curious, you'll see.
…ふぅ 	 Please. I can cut no more!
このキャンプ・トランキルの周辺は、 霊災後、エーテルの流れが不安定になってしまって 自然がなかなか回復しないの。 - 一刻も早く、かつての森を取り戻すためにも、 自然を乱す魔物や賊の討伐に、力を貸してくれると嬉しいわ。 	 Ever since the Calamity, the flow of aether around Camp Tranquil has been unstable, and the land has struggled to heal its wounds. - Lend us your strength and help slay the beasts ravaging the Twelveswood. Only then can the forest return to its former glory.
南方にある使われなくなった飛空艇発着場跡、 「サウスシュラウド・ランディング」には、 密猟者どもが、集まっている。 - 幾度か討伐を行ってはいるのだが、 追い散らしても、時が経てばいつの間にか、 また集まってきてな……。イタチの追いかけっこさ。 	 The abandoned airship landing to the south has become a haven for poachers. - Oh, we've tried to drive them off, and succeeded more often than not. But even should they scatter, in time they slink back to take shelter once more. It's like trying to catch greased marmots.
甲羅のスキマを狙えないか？ 	 If there were only a way to get them on their backs.
うーん… 	 I will inquire with the Fane about a spell of levitation.
あの水しぶきは…？ 	 One can never be too careful around tortoises.
長いこと、ここで木こりをしていますが、 5年前の霊災以降、見慣れぬ魔物が増えました。 - 南西の封印壁の付近や、 北の遺跡の周辺は、特に顕著です。 あれらの魔物はいったい、どこから現れたのでしょう。 	 I was bringing lumber to market long before the Calamity. I tell you, the things I've seen in the Twelveswood since then boggle the mind. - The most bizarre beasts seem to congregate around that giant gate to the southwest and the Gelmorran ruins to the northeast. From which of the seven hells did those creatures come?
こ、これしき… 	 Uh, Lady Heinana, were we not in a hurry?
ひとつ……ふたつ…… 干していた作物はちゃんと全部あるわね。 - バスカロンさんのおかげで 盗賊も、この辺りでは悪さをしないから助かるわ。 	 Ten, twelve...alright, everythin' looks to be where I left it. - Buscarron runs a tight ship, he does. No thievin' or fightin', and any folk who forget learn real quick that they ain't got no place here.
別に、お給料が良い訳じゃないんですけどね。 バスカロンさんの人柄に惚れ込んじゃいまして……。 盗賊稼業からは、足を洗ったんですよ、フフ♪ 	 Buscarron might not pay his help much, but he treats us with respect. After growin' up in the company of brigands, that's more than enough for me.
……はぁ、疲れた疲れた。 仕事終わりに、冷たいリンゴ酒をグイッと一杯……。 う～ん、ステキ！ 	 Nothing quenches the thirst and settles the mind quite like a glass of apple wine at the end of a hard day's work. 'Tis pure bliss!
い～や～、丹精こめて作ったリンゴ、大収穫だべよ！ まるでアンタの頬っぺたみたいにツルツルだんべ！ 	 Have y'ever seen apples so lovely? As red as a fine lass's rosy cheeks, and thrice as sweet!
「レッドベリー砦」と「朽葉の吹き溜まり」の動向、 そして「ウルズの泉」にまつわる噂話……。 ああ、報告書にまとめることがたくさんあるわ！ 	 Happenings at Takers' Rot and Redbelly Hive, the latest rumors concerning Urth's Fount... Why, if I have to write another report, my arm is going to fall clear off!
