どの子を使おうかしら… 	 I suppose this'll have to do for now.
どいた、どいた 	 Out o' me way.
ワシは連れ合いも、息子夫婦も早くに亡くしましてのう。 今では一緒に住んでる孫だけが、唯一の生き甲斐ですじゃ。 	 That damn Calamity, I tell ye. I lost me wife, me son, an' me daughter-in-law in the aftermath. If it weren't fer me grandson, I don't reckon I'd 'ave much reason to linger on.
きれいに咲けよ 	 To ripe thy fruit and spread thy seed, and nourish those that tend thee...♪
新しい肥料だよ～ 	 A sprinkle here... A sprinkle there... Another sprinkle here...
2、3年前までは、粉じんで目が見えなくなるほど、 すごい勢いで鉄鉱石を掘ってたんだ。 お陰で「ブラインドアイアン坑道」なんて呼ばれてんのさ。 	 Up until about three years ago, we had crews working every ilm of these mines around the clock. The air was so thick with dust that half of them had to dig by feel. Blind iron mining, they called it. And so the name stuck.
恐くないのかねぇ 	 You haven't the stones to work down there!
ここはモラビー造船廠。 ナルディク＆ヴィメリー社の所有する、 リムサ・ロミンサ最大の造船施設だ。 - 現在、我ら黒渦団の新造船「ヴィクトリー号」の 建造が進められているため、警備を強化している。 妙な真似をしたら、ただで済まんと心せよ。 	 Ah, the Moraby Drydocks, the site of Naldiq & Vymelli's and the grandest shipyard in all of Limsa Lominsa─the perfect place to build the Maelstrom's newest warship. - We've doubled the guard around the Victory to keep an eye out for saboteurs and the like. If you want to keep your hide intact, I'd advise against any suspicious actions, adventurer. 
ひと昔前までは、地続きの岬だったんだが、 5年前の霊災で大地が裂け、海峡ができてしまったのだ。 - 岬の先には、モラビー造船廠のような 重要施設があるため、急いで橋をかけてね。 いまだ工事中ではあるが、通行は可能だ。 	 Before the Calamity gouged out a ravine here, this used to be one long, unbroken peninsula. - 'Course, seein' as the Moraby Drydocks are on the side opposite the city, construction on the bridge went forward soon as ye could blink. It ain't quite done yet, but the Embrace is sturdy enough for fully laden wagons to trundle across.
ここでは造船で使われる材木を保管している。 毎日大量に消費されるものだからこそ、 厳密に管理しないと仕事がうまく回らないのさ。 	 Think I got it easy here in the lumberyard? The builders haul off a good forest's worth o' planks each day, and it's my job to make sure every little splinter is properly accounted fer.
私は、ナルディク＆ヴィメリー社から委託を受けて 造船師さんのお弁当を作っています。 - 造船の仕事は、すっごい重労働なんです。 だから、力がたくさん出るように、 お弁当は、大盛りにしてるんですよ。 	 I'm sorry, dearie, but these lunches are for the shipwrights. Naldiq & Vymelli's hired me to make sure their lads and lasses are fed, and fed well. - The last thing you need is a hungry crafter fainting at the top of a mast and making a mess of the deck!
この材木はシダー材っていうんだ。 シダーってのは、とにかくまっすぐ育つのが特徴でさ、 マストとかヤードの材料に最適なんだぜ。 	 Cedar. That's what ye were wonderin', weren't it? Each kind o' wood has its own use, ye see. Now cedar, that's a tree what grows straight and tall, makin' it the perfect choice for masts and yardarms and the like.
俺たち造船師っていうのは木工師、鍛冶師、甲冑師…… それぞれの技術を極めた、超一流の職人集団だ。 - それだけに、リムサ・ロミンサ中から 尊敬を受けるっていうのも、わかる話だろ？ 	 We shipwrights ain't all the same, ye know. Carpenters, smitties, armorers─takes all sorts o' craftin' skills comin' together to shape a ship. - We do share one thing, though, and that's a Builder-blessed mastery in our chosen profession. Did you never wonder why a shipwright gets so much respect from the average, ale-swillin' Lominsan?
裏門といえど、警戒はぬかりない。 キャンドルキープ埠頭から来る新しい職人や 物資の輸送業者など、よそ者の利用が多いからな。 	 The rear entrance to the docks is just as heavily guarded as the front. After all, who knows what manner of strangers are among the craftsmen and couriers sailing in from Candlekeep Quay?
ナルディク＆ヴィメリー社本社へようこそ。 この窓口では、造船廠で働く職人さん向けの 事務手続きを行っております。 - 弊社との雇用契約に始まり、作業の斡旋や 給金の支払いはもちろん、弁当の手配まで。 なんでも対応いたしますよ。 	 Greetings, and welcome to the main offices of Naldiq & Vymelli's. - If you are an artisan working here at the docks, I can assist you with a variety of matters, including employment contracts, labor assignments, wage payments, even lunch deliveries. You name it, I am at your service.
助かります 	 See that it gets done, then.
