すでに事切れている……残念だよ……。 	 I'm afraid we were too late to save him...
もう大丈夫ですよ。 治癒魔法で傷は塞ぎましたから……。 	 You should be all right now.
まだ痛むのなら、 無理に動かなくてもいい……。 	 If you're still in pain, there's no need to push yourself.
おう、おう、うちは魚屋だ！ どれも新鮮なのを仕入れてるから見ていってな！ 	 In need of some fish, lass? Ours are the fanciest you'll find this side of the salt!
おなか空いてくる… 	 This looks delicious...
美味そうだが どう調理すればいいのか… 	 How would we prepare it?
店長さんに聞いてみる？ 	 Let's ask for a recipe.
うちは金属製品……金物のなかでも、 暮らしに寄り添った道具を扱う金荒物屋 (かなあらものや)だ。 鍋なんかが必要なら、いつでも来てくれ。 	 This here's my shop, specializin' in metalwares used on the daily. You ever need yourself a pot, pan, or anythin' similar, you know where to find me.
おや、これも在庫があとひとつ……。 さすがに何か考えなくてはいけませんねぇ。 	 Only one left... I really must do something about my dwindling stock.
ドヌハヌさんから大感謝祭を開催する旨の文をもらったとき、 一人前のワラキ族なら街で見聞を広めるのもいいだろう、と、 両親が送り出してくれたんです。 - なので、またしばらくここでお世話になって、 街のことをたくさん学んでから帰ろうと思います！ 	 When I received Donuhanu's letter about the appreciation sale, my parents encouraged me to spend more time in Tuliyollal that I might broaden my horizons as a proud, full-fledged Whalaqee. - I expect there is much to learn before I return home!
少し休ませているのですよ、長旅をさせてしまいましたから。 先日の大嵐で、道もずいぶん荒れてしまっていて…… いつもより疲労しているでしょうからね。 	 The alpacas just made a long journey, so I'm giving them a bit of a rest. That storm really churned up the trails, and my four-legged friends are having a harder time than usual...
この先は、コザマル・カに通じています。 ただ、先日の大嵐の影響で道もひどい状態で…… 安全の確認が取れるまで、通行を制限しております。 	 This road leads through to Kozama'uka, but for safety's sake, we're not letting anyone travel that way at the moment. Not until we can ascertain the damage done by that monster of a storm...
私、トライヨラで自分の店を持つのが長年の夢だったんですよ。 こうしてベイサイド・ベヴィーの一員になることができて、 とても光栄に感じております！ 	 Opening a shop in Tuliyollal has always been a dream of mine. I'm honored to be part of Bayside Bevy's bustling trade!
こちらは「理の院」の窓口です。 職人の方にはお仕事も紹介していますので、 興味があれば、マリハリさんと話してみてください。 	 Here at the Wing of Reflection, we offer work to willing artisans by way of petitions filed by the citizenry of Tural. If you would make further inquiries, you need but speak with Malihali.
ようこそ、お姉さん！ もし物作りや採集が得意だったら、 マリハリから仕事を請け負ってもらえると嬉しいよ！ 	 Welcome, welcome! Come seeking work, have you? You'll want to have a word with Malihali─I'm sure she's received a few requests a tradeswoman such as yourself can fill.
申し訳ございません。 ただいま、ご予約のお客様で埋まっております。 	 My apologies, madam, but we've no vacancies at present.
「エコーズの残滓」に関して、勇連隊でも警戒を高めています。 万が一にも民間人に被害を出すわけにいきませんからね。 	 The Landsguard is on high alert in the event of echo sightings.
てい、やあああっ！ 基礎を叩き込んで！　無駄のない動きを！　身につけるんだ！ 	 Ha! Yaaagh! Master the basics! No wasted movement! Become one with the blade!
公務の合間にグルージャの特訓に付き合ってるんだけどよ、 やっぱオヤジやゾラージャ兄さんの血を引いてるだけあって、 呑み込みが早いのなんのって！ - お前と手合わせするために頑張ってるらしいぜ。 そのときが楽しみで仕方ねぇな！ 	 When duties permit, I've been putting aside time to help train Gulool Ja. I know it's in his blood, but you should see how quickly he picks things up!  - It's the idea of sparring with you that really spurs him along, though. It seems that day can't come fast enough!
はあ…………。 グルージャが怪我をしないか、毎日気が気ではありません……。 - 先日なんて、鱗が一枚剥がれかけてしまって……。 当人はへっちゃらだなどと健気に笑顔を見せていましたが、 僕がすべての苦難を肩代わりできればいいのに……。 	 <sigh> I am constantly worried that Gulool Ja may suffer some serious injury. - Why, just the other day, one of his scales was almost ripped clean off. Our swordsman-in-training laughed it off, but would that I could bear his pain for him...
……今度の旅は長くなりそうだ。 アーテリス中の未知を発見し尽くすのに、 何百年かかるかわからないからな。 - それと、こんなことは初めてだが、不思議と気が逸る。 トラル行きの船に乗っていたおたくの気持ちが、 今なら少しわかる気がする。 	 As I mentioned, this next journey of mine will be a long one. Discovering all that is yet undiscovered on Etheirys will be the work of centuries. - And for the first time, I feel strangely nervous and eager to set sail. I think now I understand a little of how you felt when you boarded the ship for Tural.
