当面の備蓄は、問題ないね 	 I once knew twins who had hair just like yours!
あの子のこと、忘れられないの？ 	 You can cross that bridge when you come to it.
静かに、森の声に耳を澄まして… 	 The forest calls to me...
鹿肉、サイコー！ 	 Well, if the others don't get here soon, we'll have to eat their share!
この前、巡回中にね… 	 We'd best scout the area first.
自給自足、っと… 	 I hope this crop turns out better than the last...
話し出すと止まらないのね 	 Don't you wag your finger at me!
クリスタリウムの親戚が手紙でね… 	 But the letter from the Crystarium said...
おばあちゃん、夜のお話して！ 	 Maybe I should join him...
緩みはないだろうな… 	 Give me a moment, would you? I'm sure it's crooked!
石板の解読に、全力を尽すわ。 ……とはいえ、しばらく時間はかかってしまいそうだけれど。 - ロンカ帝国は巨大な国だったし、優れた魔法文明を有していた。 でも、その言語についての資料は、ごく限られているのよ。 - というか、「光の氾濫」と、その後の混乱によって、 ほとんどが消失してしまったの……。 残念などという言葉じゃ、言い表せない気持ちだわ……。 	 I will do what I can to decipher the tablet's contents as quickly as I can. Though I fear it will require time we can ill afford, even with Urianger's help. - In my time here, I read through texts covering all manner of topics regarding the Ronkan Empire, but there was surprisingly very little pertaining to linguistics. - I suspect they were lost in the chaos that ensued at the time of the Flood. If there were a word to describe such a terrible loss of knowledge, it is one we will now never know.
森も私たちを見ているのよ… 	 If you gaze too long into the forest, the forest also gazes into you... 
あら、戻っていたのね。 その様子だと、今すぐタタルたちのもとに戻る必要は、 なかったということかしら……？ - 私としては、ありがたいけれどね。 せっかくファノヴの里とも、協力関係を築けたのですもの。 ロンカ文明や、この世界について、もっと調べたいわ……。 - ……エメトセルクが、最期に託した言葉。 あれを背負って生きていくべきは、 あなただけではないのだから。 	 There you are. I take it there were no pressing matters to keep you in the Source, then? - If not, I may have need of you in the near future. There is still yet so much to be learned of this world. So many mysteries begging to be solved. - The greatest perhaps being the truth of Emet-Selch's words that fateful day in the Qitana Ravel. A most troubling matter to be sure, but remember: it is not a burden you must bear alone.
お掃除、お掃除、サッサカサ！ マトーヤ様が戻るまで、綺麗に、綺麗に、サッサカサ！ 	 Niamer nac tsud fo kceps a ton, swish-swish-aroo! This room must be spotless when she returns!
「ホパル」とは、100年前に洞窟遺跡を封印した、 ルリの氏族の長の名にございまする～。 我ら一族の間で、そう語り継がれてまいりました～！ 	 We have taken to calling this place “Hopl's Stopple,” after the legendary Qitari elder who led the effort to seal away the stelae a hundred years ago.
キュィ～！ 	 Scree!
キュキュィ～！ 	 Scree! Scree!
キュキュキュィ～っ！ 	 S-Screeeeeeeee!
キタリ族の石碑が揃ったって聞いて、なんだかすごく嬉しくてさ。 今度は、オレがキンフォートを連れて、 ホパル古盤を訪ねてみたいな。 	 Quinfort won't stop going on about how the final stela's been found. I may have to pay a visit to the Stopple with him just to put an end to his ramblings.
ヴァランから聞いたぞ！ 最初にボクらの前に現れた水蛇様は、 今は、貴殿の旅に付き添われているそうだな！ - 昏き森に、調和の千年紀をもたらされた先…… 貴殿との旅路には、どのような啓示をもたらすのかッ！ また、話を聞かせてくれたまえ！ 	 ! Is it true what Valan tells me? Does the avatar of the serpent we first encountered travel with you even now!? - How blessed you must be to bask in its wisdom and guidance on every step of your journey! You simply must tell me of all the divine secrets it has shared with you!
ファイナとは、ときどき手紙を送り合おうって約束しているの。 外の世界の様子を、知らせてくれるのが楽しみだわ。 	 Phyna has promised to send letters from time to time. I can scarcely wait to hear all about the world outside the forest.
あら、ロンカの同盟者さん。 兄のジルテが、またあなたに迷惑をかけていないか、 心配していたのだけれど……大丈夫かしら？ - あ、今はあの人、「アンデン」と名乗っているのだったわね。 気の抜けた自由人ではあるものの、 あれで結構、面倒見もよくて、優しい兄なのよ。 - だから、イル・メグへ行く機会があれば、 彼の話し相手になってもらえると嬉しいわ。 	 Well met, ally of Ronka. I trust my brother Gilltet─Anden, rather─has not caused you further trouble? - As blithe and feckless as he may be at times, he is a kind and doting brother. - I would be grateful if you called upon him from time to time. A sister can't help but worry, after all.
