シュー… アナンタ族として謝罪を… 	 They disssgrace all Ananta...
助かった… 格別の感謝を… 	 My thanks. I'd thought myself done for.
まさか蛮神をこの目で 見ることになるとはな 	 I was ill prepared for such a meeting...
髑髏の処刑人に 助けられるとはよ… 	 Saved by the Butcher. The bloody Butcher...
私、どうすれば… 	 Do I fight, or...?
なんということじゃ… 	 Never in all my days...
シュー… カリヤナの連中め！ 	 Damn the Qalyana!
こ、ここで死ぬのか！？ 	 Of all the places to die...
バウト… お願い… 	 Baut... Save me...
やられてたまるかい！ 	 I'll not fall here!
チッ… いつもの槍ではないが…！ 	 Bah, this spear will have to do!
どうなってやがる！ 	 What in the hells!?
怖いっちゃ… がくぶるっちゃ… 	 I came in peace! I leave in pieces!?
代表者たちは 護ってみせる！ 	 We must protect the envoys!
シュー… 逃しはしない！ 	 Accept your fate!
あ、あぁ… 美神様ぁ…！ 	 It's Her! The Goddess Herself!
あ、あぁ… 美神様ぁ…！ 	 It's Her! The Goddess Herself!
どうにか助かったようだね… 	 That was a right mess, eh?
これまでも、各国の兵とともに出撃することはあった。 そのときの方が、人数は多かったかもしれない。 - けれど……どうしてだろう…… この光景がとても……とても嬉しいんだ。 	 We've been part of joint military operations like this before, and with far greater numbers. But for some reason, this feels very different to our previous experiences. - Despite having shared little more than introductions, there is already a palpable sense of camaraderie.
んー、いないわね。 もしかしたら、私に赤魔法を教えてくれた人も、 来てるかもしれないって思ったんだけど……。 - 帝国とは因縁があるみたいだったし、断ったのかしら。 それとも……？ - まあ、いつかはきっと再会できるわよね！ 剣も魔法も、さらにうまく使えるようになって、 そのときにビックリさせてやるんだから！ 	 I was half expecting to find the man who taught me red magic amongst our number, but he's nowhere to be seen. - I suppose he's had his share of unpleasant experiences with the Empire, but so have we all. Perhaps there's some other reason... - Well, in any case, I've a feeling I'll see him again once this is all over. I'm sure he'll be pleasantly surprised by how much my swordplay's improved since we last met!
待ってくれ……ちょっと…… 気持ちが……追いついてなくて…………。 - ………………マジかよ……豪華勢ぞろい……！ 	 This is extraordinary... - To be in such company, the finest our allies have to offer. With comrades such as these, we are bound to succeed. I'm certain of it!
東方連合、とくにドマの隠密や、レジスタンスの斥候たちとは、 何度か協力して偵察任務をこなしてるからな。 やりやすくて大助かりだ。 	 I've close ties with the scouts of the Eastern alliance and the various resistance groups, and they're an absolute joy to work with.
「暁」に来たる者あれば、去りゆく者あり……。 そうした移ろいの中で、再び肩を並べる機会を得られるのは、 実に喜ばしきことでしょう。 	 Blessed are we to have made countless steadfast allies o'er our journey's course. Indeed, we are joined today by many new acquaintances, who in time, shall we come to call our comrades...and mayhap friends.
自分は養父のもとで、アラミゴの民の哀しみを知った。 長じてからは、不滅隊の一員として、 幾度となく帝国兵と剣を交えてきた……。 - しかし、ナナモ様から派遣団の結成を伺ったとき、 不思議なほどにすんなりと、参加の意志が固まったのだ。 - これまでの諍いを知るからこそ、 此度の派遣がどれほどの事態か、理解できたのだろう。 ティソーナに誓って、やりとげてみせる……！ 	 Often has Father told me of the struggles faced by Ala Mhigo in the days of the occupation, and I too have crossed swords with the Empire on many occasions. - Though Garlemald has long been our bitter enemy, Her Grace has elected to bolster the Ilsabard contingent with members of the Immortal Flames.  - As representatives of the sultanate, we are one in our commitment to the cause.
